,cpi,inc,sav,mor,pop,ue,re
0,63.05491,100.0,100.0,111.24989,83.66173,199.77778,139.67508999999998
1,65.86354,104.22447,87.53883,96.98830,79.54733,184.22222,137.46118
2,66.25530,109.30446,79.96377,111.12499,73.97440999999999,162.66667,137.03413999999998
3,73.77067,115.20545,84.96177,105.20921,71.83239,149.11111,136.1717
4,68.88324,121.45933000000001,81.9191,103.50587,70.18101,144.22222,135.97693
5,61.59160,128.10531,78.65914000000001,100.75707,72.62704000000001,131.77778,137.56586000000001
6,65.24350,136.94521,95.61007,92.05611,70.31993,120.00000,144.23363999999998
7,47.64422,143.61786999999998,71.03567,98.65084,69.27184,112.44444,151.60976000000002
8,70.91732,154.55983,71.89994,106.78505,67.12607,105.77778,160.58487
9,76.45937,162.18385,87.27985,92.39082,59.70462,126.44444,169.87171
10,60.66859,169.36053,110.95013999999999,86.68158,55.96795,154.22222,181.28867
11,39.33737,177.48747,111.49196,77.26298,51.8469,159.77778,194.5247
12,56.94642,187.9376,103.51222,77.42541,55.82839,147.77778,216.32573
13,64.68390,196.08448,57.79825,77.79005,55.600919999999995,135.55556,242.4365
14,73.33372,209.28647,83.86052,85.03688,58.16713000000001,122.88889,248.60807999999997
15,71.58513,219.79519,83.06411999999999,84.02967,57.370940000000004,123.11111,227.5384
16,63.47962,229.35895,132.66766,79.91739,57.05786,154.66667,187.25716
17,29.64708,228.46077000000002,172.55248999999998,66.78209,52.882630000000006,247.55556,169.63734
18,17.00329,237.41672999999997,184.84872,62.18461,50.04534,256.22222,164.85621
19,54.16095,248.4892,212.39816000000002,58.97682,43.84228,238.22222,155.43345
20,50.27445,261.33345,271.53625,48.49670,44.25328,215.33333,159.32832
21,49.91213,261.56417000000005,205.17799,52.71425,41.79572,196.22222,172.38926999999998
22,52.37039,275.69392,242.58744,55.27720,44.2389,164.22222,180.30588999999998
23,54.05281,287.37396,267.23435,51.05681,44.41117,140.66667,189.54975
24,60.31908,295.60654,258.4728,48.45080,43.71496,130.00000,197.21605
25,57.10284,309.42627000000005,278.79627,52.90294,38.163270000000004,116.22222,204.36883999999998
26,63.82299,326.60804,308.45369,60.25943,31.7564,103.77778,210.58192999999997
27,67.86551,339.04384,317.92547,52.18642,27.47017,98.00000,215.00904
28,54.94329,362.31667000000004,688.9173599999999,41.25963,21.16817,215.77778,225.90327000000002
